Name,Address,Phone,Specials,Latitude,Longitude
1225 Raw Sushi and Sake Lounge,"1225 Sansom St, Philadelphia, PA 19102",215.238.1903,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#1225-raw-sushi-and-sake-lounge,39.9500178,-75.1614905
13 Patio,"1201 Market St., Philadelphia, PA 19107",215.625.6159,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#13-patio,39.9526549,-75.1606488
1518 Bar and Grill,"1518 Sansom St, Philadelphia, PA 19102",267.639.6851,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#1518-bar-and-grill,39.9502321,-75.1666385
"Air Grille at Dilworth Park (Please note: Not participating on Wednesday, June 19)","1 S 15th St, Philadelphia, PA 19102",215.587.2761,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#air-grill-garden-dilworth-park,39.9527439,-75.1645613
"Alimentari at Di Bruno Bros. Rittenhouse (Please note: Closed on Wednesday, June 19)","1730 Chestnut Street, Philadelphia PA, 19103",215.665.9220,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#alimentari-at-di-bruno-bros-rittenhouse,39.9513713,-75.1700434
aMuse,"1421 Arch St, Philadelphia, PA 19102",215.422.8222,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#amuse,39.9548246,-75.1640644
ArtBar at Sonesta Hotel,"1800 Market St, Philadelphia, PA 19103",215.825.6723,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#artbar-at-sonesta-hot,39.9527827,-75.1703617
"Attico Rooftop (Please note: Not participating on Wednesday, June 19)","219 S Broad Street Philadelphia, PA 19107",267.536.5725,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#attico-rooftop-please-note-not-participating-on-wednesday-june-19,39.9486414,-75.1641389
Bank and Bourbon,"1200 Market St, Philadelphia, PA 19107",215.231.7300,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#bank-and-bourbon,39.9517476,-75.1602317
Bar Bombon,"133 S 18th St, Philadelphia, PA 19103",267.606.6612,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#bar-bombon,39.9506007,-75.1703389
Bar Lesieur,"1523 Sansom St, Philadelphia, PA 19102",215.330.2732,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#bar-lesieur,39.9506598,-75.1666223
Bar-Ly Chinatown,"101 N. 11th St, Philadelphia, PA 19107",215.922.2688,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view?page=1#bar-ly-chinatown,39.9543618,-75.1578357
